,SGroup,Signal,coverage_naive,coverage_split,coverage_posi,length_naive,length_split,length_posi
264,3,0.7222222222222222,0.75,1.0,0.75,3.706332944145455,5.1504950479629,3.9013254823881978
265,3,0.7222222222222222,,,,,,
266,3,0.7222222222222222,1.0,0.875,1.0,3.7327378355449614,5.076952933810087,3.923566466167557
267,3,0.7222222222222222,0.625,1.0,0.875,3.523397376883922,5.25406749683833,3.9984544503997186
268,3,0.7222222222222222,1.0,,1.0,3.713029666264906,,4.276147858080565
269,3,0.7222222222222222,0.75,,1.0,3.7942812470125147,,4.498457602468928
270,3,0.7222222222222222,0.75,,,3.787223873390583,,
271,3,0.7222222222222222,0.75,1.0,1.0,3.7353020318434598,5.369426725329405,4.327969863324742
272,3,0.7222222222222222,1.0,1.0,1.0,3.7832591556119324,5.582103045409202,4.144861949353978
273,3,0.7222222222222222,0.5,0.625,0.5,3.717415578576081,5.3378614774498745,3.9429138224631215
274,3,0.7222222222222222,1.0,,,3.910762887226565,,
275,3,0.7222222222222222,1.0,,1.0,3.7696433594188266,,4.074992310604698
276,3,0.7222222222222222,1.0,1.0,1.0,3.9084860158283554,5.556799796952182,3.9140031330377023
277,3,0.7222222222222222,1.0,0.75,1.0,3.5958735000720115,5.356607535035096,3.6834425394236727
278,3,0.7222222222222222,,,,,,
279,3,0.7222222222222222,1.0,0.875,0.875,3.6862658233575365,5.414446632558542,3.7436334811242435
280,3,0.7222222222222222,,0.875,,,5.620686163644523,
281,3,0.7222222222222222,1.0,1.0,1.0,3.6375176713682436,5.399282403639004,3.8142436565015254
282,3,0.7222222222222222,1.0,,1.0,3.677594242747129,,3.7428899227798667
283,3,0.7222222222222222,0.875,,1.0,3.657527355045623,,4.142073946479345
284,3,0.7222222222222222,1.0,0.75,1.0,3.5874072761754006,5.234211152314932,4.05700700868622
285,3,0.7222222222222222,,,0.75,,,3.6171832854748196
286,3,0.7222222222222222,,,0.75,,,4.561520293811199
287,3,0.7222222222222222,,,1.0,,,4.1454006126200404
288,3,0.7222222222222222,0.75,,0.75,3.644547302364511,,3.766161457903198
289,3,0.7222222222222222,0.75,1.0,0.75,3.84789043185618,5.350177358638928,3.9270956426748085
290,3,0.7222222222222222,1.0,,1.0,3.986783120930144,,4.338769841084577
291,3,0.7222222222222222,,,,,,
292,3,0.7222222222222222,0.875,0.875,0.875,3.6599359088609646,5.182600707147353,3.7888027609984776
293,3,0.7222222222222222,1.0,0.875,1.0,3.4495600947314675,5.14597647426038,3.568017805969459
294,3,0.7222222222222222,,1.0,,,5.59153140441228,
295,3,0.7222222222222222,0.75,0.75,1.0,3.5153893904698466,4.9434709081236266,3.5986811020256404
296,3,0.7222222222222222,1.0,1.0,1.0,3.7178847146691654,5.176485872421209,3.837255065740681
297,3,0.7222222222222222,1.0,,1.0,3.8426780155818485,,4.224177108565103
298,3,0.7222222222222222,1.0,0.75,1.0,3.644302104068507,5.254891610228097,3.9991670246232824
299,3,0.7222222222222222,0.75,,1.0,3.8143270874264803,,4.220954389669079
300,3,0.8333333333333333,1.0,,1.0,3.97876024874185,,4.321423660507179
301,3,0.8333333333333333,1.0,1.0,1.0,3.8027151027780732,5.248170449356098,3.9382972899110023
302,3,0.8333333333333333,0.75,1.0,0.875,3.709151318968818,5.64922380523833,3.754128284961652
303,3,0.8333333333333333,0.875,0.75,1.0,3.62796122893542,5.335892516297427,3.8227819835287558
304,3,0.8333333333333333,1.0,,1.0,3.6944689096904684,,4.210308358960702
305,3,0.8333333333333333,1.0,1.0,0.75,3.61359218508597,5.121151166751199,3.537543057766335
306,3,0.8333333333333333,0.875,1.0,0.75,3.67852837347647,5.3028777207870235,3.89333799352785
307,3,0.8333333333333333,1.0,,1.0,3.9874903475265935,,4.291016700474626
308,3,0.8333333333333333,0.5,0.5,0.625,3.6275467704291353,5.49301599283741,3.5911485720925684
309,3,0.8333333333333333,0.875,0.5,0.875,3.6531026051481605,5.528591695105437,3.763870789713753
310,3,0.8333333333333333,1.0,1.0,1.0,3.721485904396449,5.282920039647893,3.8742732537441826
311,3,0.8333333333333333,1.0,1.0,1.0,3.5820964749771322,5.229471747445858,3.992821847040987
